;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
152;Новый;Renault Sandero II Рестайлинг Stepway;876 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/82л.с./Бензин
153;118 000 км;Renault Sandero I Stepway;520 000 ₽;2014;механика;хэтчбек 5 дв.;передний;пурпурный;1.6 л/84л.с./Бензин
154;Новый;Renault Sandero II Рестайлинг Stepway;857 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Stepway Life;1.6 л/82л.с./Бензин
155;143 205 км;Renault Sandero I;305 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;1.4 л/75л.с./Бензин
156;64 400 км;Renault Sandero II Stepway;655 000 ₽;2016;автомат;хэтчбек 5 дв.;передний;синий;1.6 л/102л.с./Бензин
157;51 574 км;Renault Sandero II Рестайлинг;590 000 ₽;2019;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/82л.с./Бензин
158;105 000 км;Renault Sandero I;405 000 ₽;2012;механика;хэтчбек 5 дв.;передний;белый;1.6 л/103л.с./Бензин
159;39 000 км;Renault Sandero II Stepway;779 000 ₽;2018;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/113л.с./Бензин
160;45 000 км;Renault Sandero II Stepway;670 000 ₽;2014;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/102л.с./Бензин
161;Новый;Renault Sandero II Рестайлинг;898 000 ₽;2021;автомат;хэтчбек 5 дв.;передний;Life;1.6 л/102л.с./Бензин
162;37 000 км;Renault Sandero I;425 000 ₽;2011;автомат;хэтчбек 5 дв.;передний;синий;1.6 л/103л.с./Бензин
163;14 000 км;Renault Sandero II;840 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;бежевый;1.6 л/102л.с./Бензин
164;166 444 км;Renault Sandero I;325 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.4 л/75л.с./Бензин
165;112 214 км;Renault Sandero I Stepway;435 700 ₽;2012;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/103л.с./Бензин
166;90 000 км;Renault Sandero II;510 000 ₽;2014;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
167;Новый;Renault Sandero II Рестайлинг;907 000 ₽;2021;механика;хэтчбек 5 дв.;передний;Life;1.6 л/113л.с./Бензин
168;60 000 км;Renault Sandero II;699 000 ₽;2017;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/82л.с./Бензин
169;102 265 км;Renault Sandero I;409 000 ₽;2014;механика;хэтчбек 5 дв.;передний;белый;1.6 л/84л.с./Бензин
170;39 430 км;Renault Sandero II Stepway;715 000 ₽;2017;механика;хэтчбек 5 дв.;передний;серый;1.6 л/113л.с./Бензин
171;16 512 км;Renault Sandero II Stepway;820 000 ₽;2018;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/102л.с./Бензин
172;141 540 км;Renault Sandero I;460 000 ₽;2011;механика;хэтчбек 5 дв.;передний;чёрный;1.6 л/84л.с./Бензин
173;61 239 км;Renault Sandero II Stepway;710 000 ₽;2018;механика;хэтчбек 5 дв.;передний;синий;1.6 л/82л.с./Бензин
174;57 526 км;Renault Sandero II;599 000 ₽;2017;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/113л.с./Бензин
175;96 000 км;Renault Sandero I;450 000 ₽;2013;механика;хэтчбек 5 дв.;передний;бежевый;1.6 л/84л.с./Бензин
176;120 250 км;Renault Sandero I;365 000 ₽;2012;автомат;хэтчбек 5 дв.;передний;красный;1.6 л/103л.с./Бензин
177;97 256 км;Renault Sandero I Stepway;490 000 ₽;2011;механика;хэтчбек 5 дв.;передний;красный;1.6 л/84л.с./Бензин
178;83 283 км;Renault Sandero II Stepway;590 000 ₽;2015;механика;хэтчбек 5 дв.;передний;зелёный;1.6 л/82л.с./Бензин
179;13 951 км;Renault Sandero II Рестайлинг Stepway;899 000 ₽;2019;вариатор;хэтчбек 5 дв.;передний;красный;1.6 л/113л.с./Бензин
180;70 154 км;Renault Sandero II;639 000 ₽;2017;механика;хэтчбек 5 дв.;передний;серый;1.6 л/82л.с./Бензин
181;264 200 км;Renault Sandero I Stepway;415 000 ₽;2014;механика;хэтчбек 5 дв.;передний;серебристый;1.6 л/84л.с./Бензин
182;75 825 км;Renault Sandero II;639 000 ₽;2017;механика;хэтчбек 5 дв.;передний;белый;1.6 л/82л.с./Бензин
